script	dataset	fecha	learning_rate	feature_fraction	bagging_fraction	min_data_in_leaf	num_leaves	max_bin	best_iter	auc
lightgbm_BO	./datasets/dataset_caba.csv	20210801 231443	0.0530681831104448	0.686392397914703	0.24473497258344	255	363	255.078730614817	114	0.847386256181292
lightgbm_BO	./datasets/dataset_caba.csv	20210801 231447	0.065465031855274	0.42467259237698	0.759669238848922	311	268	255.025705758841	124	0.845433152363274
lightgbm_BO	./datasets/dataset_caba.csv	20210801 231451	0.0672010393894743	0.607734928202505	0.698645612302547	388	261	255.035023073339	138	0.843494376707353
lightgbm_BO	./datasets/dataset_caba.csv	20210801 231457	0.0489014030544786	0.523651755360576	0.533597039524466	121	136	255.057298608666	106	0.854424796201674
lightgbm_BO	./datasets/dataset_caba.csv	20210801 231500	0.0827160552781425	0.765614365716465	0.913435750330488	336	216	255.045606609578	106	0.844549047889942
lightgbm_BO	./datasets/dataset_caba.csv	20210801 231504	0.0560192177942372	0.455463855356599	0.379798973631114	226	284	255.047499686612	114	0.84804763722872
lightgbm_BO	./datasets/dataset_caba.csv	20210801 231508	0.0955863049402251	0.719770404867207	0.276755543068672	172	51	255.060979948879	52	0.850013124278806
lightgbm_BO	./datasets/dataset_caba.csv	20210801 231513	0.0389976844951161	0.959328532793249	0.407083494930218	285	21	255.018456458279	168	0.845928978661479
lightgbm_BO	./datasets/dataset_caba.csv	20210801 231520	0.0338717486092355	0.556027742746907	0.845073425599064	367	318	255.07351985892	348	0.844988303714953
lightgbm_BO	./datasets/dataset_caba.csv	20210801 231524	0.0905759570060764	0.994843642126458	0.362694634442839	204	386	255.064499353385	70	0.84832252657159
lightgbm_BO	./datasets/dataset_caba.csv	20210801 231549	0.0134579811230651	0.236174765982044	0.948355404093551	64	389	255.024245711634	570	0.860696873317869
lightgbm_BO	./datasets/dataset_caba.csv	20210801 231559	0.0257240250057657	0.781889106961899	0.582185586448759	126	497	255.084377351377	223	0.85565412563036
lightgbm_BO	./datasets/dataset_caba.csv	20210801 231615	0.0598487752236542	0.49571984889141	0.469966270014023	43	415	255.006462974145	140	0.860439296214779
lightgbm_BO	./datasets/dataset_caba.csv	20210801 231619	0.072534051243565	0.326935545487019	0.522689457253243	487	473	255.031149084613	203	0.84069446244878
lightgbm_BO	./datasets/dataset_caba.csv	20210801 231627	0.0172387986831018	0.277987298097772	0.792730580681624	316	75	255.052936666786	503	0.846037849010064
lightgbm_BO	./datasets/dataset_caba.csv	20210801 231635	0.0203277671904652	0.58583904892051	0.329018020032284	411	219	255.094441372185	463	0.844249197637226
lightgbm_BO	./datasets/dataset_caba.csv	20210801 231644	0.0405603404119029	0.897013542374286	0.704542487921814	163	196	255.097905929293	218	0.852954982552444
lightgbm_BO	./datasets/dataset_caba.csv	20210801 231646	0.098147509409755	0.811504662657778	0.60462266872637	243	162	255.013310510077	48	0.846266426116577
lightgbm_BO	./datasets/dataset_caba.csv	20210801 231649	0.0775570182918455	0.391564936322781	0.228362166516793	418	72	255.081894013565	97	0.842575197181636
lightgbm_BO	./datasets/dataset_caba.csv	20210801 231654	0.0874917278756038	0.357333241907569	0.991626226824398	91	462	255.069172306875	45	0.855581163627298
lightgbm_BO	./datasets/dataset_caba.csv	20210801 231802	0.0234827805205714	0.914720621805948	0.80806185596933	19	109	255.010635702982	434	0.861182115362766
lightgbm_BO	./datasets/dataset_caba.csv	20210801 231807	0.0314605877135182	0.636306463639873	0.895847325019228	445	339	255.00257677415	285	0.841657827733342
lightgbm_BO	./datasets/dataset_caba.csv	20210801 231811	0.0756386229526834	0.848622143369478	0.646253726631403	465	430	255.089891918011	105	0.841211079864939
lightgbm_BO	./datasets/dataset_caba.csv	20210801 231846	0.0446370262964047	0.213109737324218	0.439051601220854	35	132	255.038316761121	469	0.86238610457116
lightgbm_BO	./datasets/dataset_caba.csv	20210801 232041	0.0201370183806661	0.201596778784018	0.579956515078172	0	215	255.02981571752	555	0.862163608903429
lightgbm_BO	./datasets/dataset_caba.csv	20210801 232119	0.014771083681311	0.233142868932549	0.446219287801692	28	173	255.025836101021	386	0.864330461394055
lightgbm_BO	./datasets/dataset_caba.csv	20210801 232215	0.0100981605517989	0.298680267188488	0.248992152182954	29	138	255.005864661841	585	0.864164732899709
lightgbm_BO	./datasets/dataset_caba.csv	20210801 232300	0.0100320306296517	0.347185250741113	0.317789316838206	30	230	255.036330759043	444	0.863035212693677
lightgbm_BO	./datasets/dataset_caba.csv	20210801 232322	0.0101426400320794	0.201755869592244	0.474301007431482	29	35	255.002593829909	602	0.863372368120193
lightgbm_BO	./datasets/dataset_caba.csv	20210801 232357	0.0141507973191478	0.202733641843135	0.403235974729422	29	178	255.012362653844	377	0.861969457516029
lightgbm_BO	./datasets/dataset_caba.csv	20210801 232412	0.0194565009798615	0.433196484371446	0.219486606565775	33	13	255.025815300401	645	0.864452112042929
lightgbm_BO	./datasets/dataset_caba.csv	20210801 232427	0.012058723747112	0.288777398106043	0.624076407544495	21	10	255.027902782146	909	0.863776467021661
lightgbm_BO	./datasets/dataset_caba.csv	20210801 232524	0.013440067178294	0.82780022532244	0.214752832740607	29	77	255.000132760981	545	0.860860059234725
lightgbm_BO	./datasets/dataset_caba.csv	20210801 232544	0.0272111884590942	0.321655185761063	0.316879229529337	34	108	255.025695012339	181	0.862253666588286
