script	dataset	fecha	learning_rate	feature_fraction	lambda_l1	lambda_l2	min_data_in_leaf	num_leaves	max_bin	best_iter	auc
lightgbm_BO	./datasets/dataset_caba.csv	20210801 091417	0.031009516697959	0.883434434381447	3.99274169675274	149.001354494664	350	600	255.021473455708	641	0.793716305851097
lightgbm_BO	./datasets/dataset_caba.csv	20210801 091422	0.0626056419300481	0.811661823592814	2.08106515492545	128.153230946711	274	555	255.05899993015	436	0.804958576420143
lightgbm_BO	./datasets/dataset_caba.csv	20210801 091428	0.0740827413470418	0.545911413045334	3.23724265771619	184.782899608503	237	701	255.051290599682	467	0.80781527634969
lightgbm_BO	./datasets/dataset_caba.csv	20210801 091503	0.056529238611942	0.707338847984959	2.76008770638977	132.398888018049	6	315	255.037235958715	545	0.818215483434695
lightgbm_BO	./datasets/dataset_caba.csv	20210801 091507	0.0460184111293139	0.627059946575069	3.00616987045422	30.1835974611874	197	641	255.026257155939	327	0.814765238603362
lightgbm_BO	./datasets/dataset_caba.csv	20210801 091512	0.0586817875865381	0.62912920067486	1.70555273478385	161.98145439682	163	197	255.070212329907	407	0.815121108382021
lightgbm_BO	./datasets/dataset_caba.csv	20210801 091514	0.0415126931082757	0.384721243980208	1.32183461599717	73.3066513020146	498	827	255.067301378522	161	0.766839777383208
lightgbm_BO	./datasets/dataset_caba.csv	20210801 091517	0.0386076194196773	0.889380915995155	1.93175325556825	11.901426782632	325	301	255.043836794138	269	0.79677901144738
lightgbm_BO	./datasets/dataset_caba.csv	20210801 091519	0.0974258828244638	0.33553584682356	0.442388472563055	52.6801173159454	466	423	255.085130840675	95	0.776642658160404
lightgbm_BO	./datasets/dataset_caba.csv	20210801 091522	0.082028416752915	0.840346704596387	0.620895530779048	42.6935144799895	182	743	255.039300388464	161	0.817756620308854
lightgbm_BO	./datasets/dataset_caba.csv	20210801 091527	0.0866978775237554	0.360047787234985	2.5032160713038	84.5737426358807	90	688	255.015610411446	219	0.817443520836965
lightgbm_BO	./datasets/dataset_caba.csv	20210801 091531	0.069982140759239	0.979411227588675	3.05431065532113	137.468279163087	230	559	255.030682516558	263	0.806006122157114
lightgbm_BO	./datasets/dataset_caba.csv	20210801 091542	0.0228563521914683	0.722536779002154	3.45309957583335	120.402991467355	150	127	255.079435400055	1003	0.81561885354928
lightgbm_BO	./datasets/dataset_caba.csv	20210801 091546	0.0232113116538052	0.400440827078585	0.250542885707026	58.992760829694	376	184	255.004198915704	483	0.786830594190697
lightgbm_BO	./datasets/dataset_caba.csv	20210801 091550	0.0280408888690207	0.454756142711267	4.62722381606	2.61838926567829	430	101	255.092924509165	467	0.781918919028809
lightgbm_BO	./datasets/dataset_caba.csv	20210801 091555	0.091390097268408	0.2772576777331	2.314817388542	105.386204763116	52	57	255.077939425973	264	0.818693461741204
lightgbm_BO	./datasets/dataset_caba.csv	20210801 091612	0.0195196942008001	0.784089193333473	1.17119843905259	87.5333014576297	69	456	255.02050038334	1091	0.81956390303453
lightgbm_BO	./datasets/dataset_caba.csv	20210801 091618	0.0519171982985323	0.313776431352432	4.82144687170928	171.186971885618	309	778	255.099545667366	693	0.799404383150562
lightgbm_BO	./datasets/dataset_caba.csv	20210801 091621	0.0336973651194213	0.68509753149535	3.64280918629707	95.6979758887818	459	496	255.034398888374	455	0.777084798210238
lightgbm_BO	./datasets/dataset_caba.csv	20210801 091627	0.0780486205488809	0.76157714843617	3.8588810633103	45.7084017572924	87	351	255.073709174978	267	0.819525791448516
lightgbm_BO	./datasets/dataset_caba.csv	20210801 091630	0.095216026411924	0.526165587168985	0.873519162913518	26.2056083019291	398	868	255.009325991654	229	0.78490193740057
lightgbm_BO	./datasets/dataset_caba.csv	20210801 091635	0.0766313930022963	0.482821039063856	2.38347150381222	188.115244714676	133	232	255.011493910497	388	0.81531235860497
lightgbm_BO	./datasets/dataset_caba.csv	20210801 091648	0.0113241908431519	0.573720523801499	4.72492572959579	64.4125302754609	290	987	255.092802504278	1444	0.804036504962869
lightgbm_BO	./datasets/dataset_caba.csv	20210801 091702	0.01412177073894	0.253204384698932	1.04976534781079	196.08632221186	253	948	255.053758716868	1808	0.804282083941406
lightgbm_BO	./datasets/dataset_caba.csv	20210801 091706	0.0897022306060951	0.498015344608575	4.45581513831192	173.547086089716	412	49	255.086388109693	356	0.784024316677693
lightgbm_BO	./datasets/dataset_caba.csv	20210801 091722	0.0485853771599276	0.940625268739781	4.15112165559549	108.513056007879	25	1008	255.000589208904	500	0.818268202106799
lightgbm_BO	./datasets/dataset_caba.csv	20210801 091725	0.0661338404044675	0.957200242153236	0.0248493338585831	151.691945018579	358	891	255.060788194555	235	0.790344380887175
lightgbm_BO	./datasets/dataset_caba.csv	20210801 091729	0.0435546948338327	0.207054824461894	1.43879361662714	14.8684393714315	113	392	255.049511954451	202	0.819675344037266
lightgbm_BO	./datasets/dataset_caba.csv	20210801 091734	0.0538134783017955	0.727386862366723	0.906485376098633	18.1218575510381	72	788	255.066085807022	122	0.81831692985809
lightgbm_BO	./datasets/dataset_caba.csv	20210801 091739	0.0788442867605659	0.593555598240309	0.590056679667105	22.7147437235841	121	266	255.049537960086	113	0.816838258401766
lightgbm_BO	./datasets/dataset_caba.csv	20210801 091751	0.028660637619294	0.308827648976693	4.09739003318769	75.2350732763632	57	415	255.063812596536	672	0.819883616911958
lightgbm_BO	./datasets/dataset_caba.csv	20210801 091801	0.0360869034661494	0.778931552850909	2.70256804704241	66.262973821012	106	761	255.054857848911	645	0.81760825598096
lightgbm_BO	./datasets/dataset_caba.csv	20210801 091810	0.0398946097996308	0.776328600880915	3.98867603477817	20.6922286343088	43	299	255.007809231435	257	0.823157260914645
lightgbm_BO	./datasets/dataset_caba.csv	20210801 091816	0.022622686399853	0.207193535427833	2.59584297415287	9.66053308513504	44	26	255.000930791977	262	0.825039126054453
lightgbm_BO	./datasets/dataset_caba.csv	20210801 091828	0.0103975504698515	0.204246117014774	3.90609028907345	0.191919774065219	25	144	255.000956138686	444	0.827330085214408
lightgbm_BO	./datasets/dataset_caba.csv	20210801 091857	0.0105169666388356	0.208618854499212	3.39084984258276	0.445012775863347	0	406	255.000523931206	407	0.825311026421219
lightgbm_BO	./datasets/dataset_caba.csv	20210801 091933	0.0112293356606596	0.202946107746561	4.81486233003278	101.738035839214	11	36	255.000470809589	1319	0.819653170498934
lightgbm_BO	./datasets/dataset_caba.csv	20210801 091944	0.0101514917645552	0.318578329135989	4.03617151907206	0.0392596168868579	38	349	255.000401584284	429	0.823902917965442
lightgbm_BO	./datasets/dataset_caba.csv	20210801 091956	0.0144496248404215	0.207825739118596	3.44684664393861	0.310891776565909	10	41	255.09538142119	295	0.827588516378128
